rep,c,theta,se,cover,term_a,term_c,term_b,rmse_l,rmse_m,prod_stat
18,10,0.771554384350616,0.05145534748300572,0,0.01696654066246096,-0.019722985576369936,0.27431082926452505,0.9187316323579356,0.4357836428478454,18.66615346138824
18,30,1.36853346866276,0.07328570435988274,0,0.014048361585264825,-0.026676887004234328,0.8811619940817297,1.9474927480122635,0.5889115570045386,47.23550456290181
18,100,1.3962411937280441,0.07252763197944571,0,0.01388814222302982,-0.02366898918100216,0.9060220406860162,1.980310382055232,0.5986134392451794,48.818561306781625
19,1,0.4091119381379602,0.04033400897388846,0,-0.10107815634756266,0.0007458774823756444,0.009444217003147225,0.14682574254986572,0.14374516297714018,1.3208252614089135
19,3,0.4383400687297924,0.04001557218454576,1,-0.09466354061343384,-0.009191269811526216,0.04219487915475242,0.2697011840607114,0.28671250116244396,5.044805564696974
19,10,0.62519934301504,0.04346061332027893,0,-0.06656212855709331,-0.018400800912482036,0.21016227248461533,0.7871274669846007,0.6303363775297788,28.254287606833774
19,30,1.2272395780993752,0.0790214152945233,0,-0.06656212855709331,-0.059260704254800664,0.8530624109112692,1.8792331973308884,0.6303363775297789,50.023216332382134
19,100,1.3219527284960173,0.08075008078908807,0,-0.06656212855709331,-0.07598828140907886,0.9645031384621896,2.0347840473560845,0.6303363775297789,53.12380931830416
20,1,0.412660918842171,0.04206592238376312,0,-0.08312302130762526,-0.014256694821405598,0.010040634971201954,0.17742880120037674,0.11733482009999027,1.0937065050593517
20,3,0.4444286805866924,0.04191752855052193,1,-0.076284073835218,-0.020722662999083503,0.041435417420993936,0.30379786165541894,0.26461776321038266,4.75647262479195
20,10,0.6378840035865532,0.04379592625191275,0,-0.0494893140915326,-0.027691817901320387,0.2150651355794061,0.8701981693922406,0.6319015283688778,30.01567846914303
20,30,1.2603317027515444,0.07422860161748861,0,-0.04948931409153259,-0.0489394287289835,0.8587604455720605,1.9423606338005306,0.6319015283688779,51.44014439928741
20,100,1.3414748712601055,0.0787607422651305,0,-0.04948931409153259,-0.04910441154804601,0.9400685968996845,2.088195318227157,0.6319015283688779,54.35428319042289
21,1,0.5318505688860943,0.045146093148302896,1,0.03101516746603506,-0.005501434620321441,0.006336836040380654,0.16480848841701087,0.11577400896105357,1.027239352664344
21,3,0.57172936800269,0.043172770627174395,1,0.028630414497016813,0.0025598284885246913,0.040539125017148514,0.29252496857770394,0.25899595085148286,4.51705069233043
21,10,0.7807130024730915,0.04215409553292664,0,0.01980064459080702,0.014572994571477234,0.2463393633108071,0.8810771738991939,0.582104688083148,26.93391007710562
21,30,1.3884606676243454,0.06557456471205966,0,0.01980064459080702,-0.012321972082538216,0.8809819951160768,1.9063441204866025,0.5821046880831481,45.80678464035467
21,100,1.404952278840108,0.06607510312997514,0,0.01980064459080702,-0.018006229901180313,0.9031578641504814,1.9410038908490268,0.5821046880831481,46.44479360047799
22,1,0.49406026708507833,0.04292774351648412,1,-0.01749483193049475,0.010125067060837769,0.0014300319547353737,0.1559414025001399,0.079218903314621,0.5891051808772643
22,3,0.5459612603616617,0.0430859580321323,1,-0.01694444933865251,0.018426314559038037,0.044479395141276155,0.3522691829766935,0.13422841620095638,2.0650243033910742
22,10,0.8118288959358612,0.04765436771156673,0,-0.012309588433356914,0.023279503333291676,0.30085898103592645,1.0618213429831156,0.4638059640683093,22.376119999476828
22,30,1.3457122289918875,0.06385660166936946,0,-0.010256519250779134,0.02299261392741327,0.8329761343152531,1.995361082232091,0.6095248313568747,50.20883103287242
22,100,1.3457122289918875,0.06385660166936946,0,-0.010256519250779134,0.02299261392741327,0.8329761343152531,1.995361082232091,0.6095248313568747,50.20883103287242
23,1,0.4715185559511287,0.04115934219150665,1,-0.04382722052921348,0.01844097031701763,-0.003095193836675399,0.08099327992096356,0.09179513348209382,0.5015731436956842
23,3,0.4936216529479545,0.042037985530881526,1,-0.04250840126065356,0.01386563270171366,0.02226442150689437,0.21604399145151593,0.1749796066435475,2.163666911506298
23,10,0.7344327726178942,0.051342434312206274,0,-0.03138213488210688,0.01481169708538626,0.25100321041461476,0.8751154871897238,0.5030658033432173,21.9245731267516
23,30,1.3280631854866998,0.07418336981210237,0,-0.02740811787735568,-0.002278142725458262,0.8577494460895135,1.896754961219366,0.6191529971419125,49.259809553523915
23,100,1.3280631854866998,0.07418336981210237,0,-0.02740811787735568,-0.002278142725458262,0.8577494460895135,1.896754961219366,0.6191529971419125,49.259809553523915
24,1,0.4257396391160622,0.042262991292039274,1,-0.07228276918055133,-0.0023378133385889535,0.0003602216352025948,0.12789321314255345,0.08283281765789646,0.5519765422539312
24,3,0.46191048362074416,0.041672500846725774,1,-0.06792820539209483,0.012587946517198231,0.017250742495640764,0.2313974653622062,0.19347611658107466,2.5994836477420513
