rep,oracle_theta,oracle_se,oracle_cover,armA_theta,armA_se,armA_cover,armA_term_a,armA_term_b,armB_theta,armB_se,armB_cover,armB_term_a,armB_term_c,armB_term_b,armB_r2_l_in,armBsym_theta,armBsym_se,armBsym_cover,armBsym_term_a,armBsym_term_c,armBsym_term_b,armC_theta,armC_se,armC_cover,armC_term_a,armC_term_c,armC_term_b,armC_rmse_l,armC_rmse_m
236,0.5090801558428241,0.042132737333676624,1,0.5508278273319905,0.05843671330793416,1,-0.01600181804562672,0.06682964537761749,0.32093457994021646,0.0285454603226486,0,0.008390357651253216,-0.16628702703962886,-0.02116875067140788,0.8361591703133382,0.5047621806859244,0.044396799201280465,1,0.020688020093848153,0.011561542466228472,-0.027487381874152263,0.49420934723692783,0.04386410626989871,1,0.008313247886580489,0.004175627077156756,-0.01827952772680931,0.4028473226242979,0.17566787654544258
237,0.5145673652092744,0.04394208910372765,1,0.5334019109339874,0.055812590103325024,1,0.05511895845947175,-0.02171704752548438,0.3228178792979917,0.03002405257318772,0,0.014350166951571671,-0.17415399151200467,-0.017378296141575236,0.8355964023626681,0.5072905272929887,0.04759951852621152,1,0.035763568000313356,-0.013176348629481489,-0.015296692077843089,0.5144630299183478,0.04571780518282729,1,0.01414833877994461,0.011295176067928908,-0.010980484929525768,0.42186687021921454,0.2342733121407782
238,0.4855826377251654,0.041481351446693286,1,0.5754003605870396,0.05043405351019702,1,0.05305576099437045,0.022344599592669184,0.30227971865728764,0.02668364599800392,0,-0.013470192107272622,-0.17591052936709406,-0.00833955986834566,0.8523224246437091,0.4780639006805195,0.04238030728216398,1,-0.03432379140103028,0.0074295192894323885,0.004958172792117442,0.47293051618188003,0.04176738091299087,1,-0.013312770926011802,-0.014864599318895642,0.001107886426787498,0.4281929311117029,0.1850679790013096
239,0.4678909975357775,0.04357613645610529,1,0.6230799243792386,0.061775903967285536,0,0.03267141425464491,0.09040851012459378,0.2736275632835644,0.029779874361352515,0,-0.029512898618294026,-0.17980659990077189,-0.01705293819736968,0.833990262916463,0.43473272236762495,0.047427369825107625,1,-0.07498947765251596,0.030541052411611005,-0.02081885239147009,0.4428507277541774,0.04730117991200189,1,-0.02924346232167164,-0.01035005035666082,-0.017555759567490177,0.41960662640200663,0.17931088105313212
240,0.5215434765286107,0.0419688897037103,1,0.5661672598918258,0.05622012943856654,1,0.026153253845883025,0.040014006045942706,0.29795906632019736,0.027019266934521922,0,0.01986258126149437,-0.21478574430316244,-0.007117770638134511,0.8412911754963941,0.4840244997385792,0.04317724761615737,1,0.0508240027407235,-0.08384398248328216,0.01704447948113797,0.4969216960977381,0.043731311727157406,1,0.02030679616926938,-0.02526495858078653,0.0018798585092553279,0.39516746463784336,0.20989697147733347
241,0.48127144567555247,0.04001952033511012,1,0.6210350377965308,0.0536430925636174,0,0.005964217989028777,0.11507081980750192,0.3076171767024704,0.02720230902745402,0,-0.017708461721589477,-0.1460956222017532,-0.02857873937418692,0.841599179111469,0.4824504351261357,0.043172822824644776,1,-0.044507967904127435,0.06607201782696166,-0.03911361479669853,0.4815664255189656,0.041761765465509276,1,-0.017599101184369963,0.01331393525642185,-0.014148408553086285,0.42943654177145596,0.18349704706056327
242,0.5344947618161167,0.04086951130318525,1,0.6640877816341573,0.05336287487632122,0,0.075556488571501,0.08853129306265632,0.33664298326953307,0.02660574380268257,0,0.03193193723323651,-0.17124054279979678,-0.024048411163906783,0.8351765092904004,0.554779918711405,0.04216845149968683,1,0.08263606400548762,-0.010744870535665847,-0.017111274758416898,0.5489042541304278,0.04278405120474692,1,0.032504432771625076,0.027387651531054946,-0.010987830172252347,0.4491264849451513,0.20718860240442227
243,0.46149204147800754,0.04120557359015441,1,0.5949993724752576,0.053028034805943945,1,-0.014826842226049025,0.10982621470130657,0.2799784617950369,0.027651779554728695,0,-0.0358784324060269,-0.1655108268860906,-0.018632278912845603,0.8470771526495442,0.448915666920147,0.04399380481557118,1,-0.09149005939341759,0.05535337827702452,-0.014947651963459907,0.44385893716136365,0.042264200265217024,1,-0.0358974143323936,-0.010414963498936707,-0.009828685007306045,0.4080537718391941,0.18168785957371522
244,0.5151716274795369,0.044633585520494304,1,0.50028082170149,0.059505406917599424,1,-0.0003544213970620281,0.0006352430985519916,0.31827224840680085,0.029887884001431223,0,0.013947205345525687,-0.17192910758875496,-0.023745849349969764,0.8367685561099396,0.5110189373719451,0.04737031740445919,1,0.03573942629329596,-0.025251708881495513,0.0005312199601447428,0.5006997385185151,0.0472344655340684,1,0.013833436160974523,-0.005394774179466785,-0.007738923462992533,0.44443655595561476,0.18071562256097817
245,0.574088806934482,0.043443758418578206,1,0.6055308727578035,0.053840521374119855,0,0.015232390448407025,0.09029848230939655,0.33709362342559707,0.030281452461291446,0,0.07097740339453176,-0.22609859429365645,-0.007785185675278263,0.8332340514670399,0.5435306568407058,0.048429625549712786,1,0.17710048209742787,-0.1567164487653411,0.023146623508618958,0.5575929804235781,0.04679269663183299,1,0.07025456627872351,-0.007030549946793666,-0.005631035908351833,0.43345747940815,0.19590532536629043
