mode,model,learner,split_seed,learner_seed,theta,se,m_below_trim,m_above_trim
expB,PLR,forest,0,52,8822.561310112244,1371.7739978813484,0.0,0.0
expB,IRM,forest,0,52,7794.6266598865695,1196.077414301582,0.0,0.0
expB,PLR,forest,0,53,8691.540199606827,1374.3548615594425,0.0,0.0
expB,IRM,forest,0,53,7705.515641083458,1203.3323818404976,0.0,0.0
expB,PLR,forest,0,54,8768.700106978004,1369.905079747036,0.0,0.0
expB,IRM,forest,0,54,7726.450601513303,1193.2611830231458,0.0,0.0
expB,PLR,forest,0,55,8751.84666144149,1368.9701245818558,0.0,0.0
expB,IRM,forest,0,55,7774.538942005572,1196.6013664266525,0.0,0.0
expB,PLR,forest,0,56,8716.86198550542,1376.2060106371835,0.0,0.0
expB,IRM,forest,0,56,7896.161154420151,1195.5922031986279,0.0,0.0
expB,PLR,forest,0,57,8785.063894891087,1372.6456053793459,0.0,0.0
expB,IRM,forest,0,57,7846.3665673140495,1204.227031114179,0.0,0.0
expB,PLR,forest,0,58,8673.344243883317,1380.2093963805637,0.0,0.0
expB,IRM,forest,0,58,7846.478774921792,1189.0510823040393,0.0,0.0
expB,PLR,forest,0,59,8744.804155549042,1375.6093290338538,0.0,0.0
expB,IRM,forest,0,59,7728.8872369862875,1204.6915253704626,0.0,0.0
expB,PLR,forest,0,60,8810.364073349887,1380.1102603181012,0.0,0.0
expB,IRM,forest,0,60,7768.702076465027,1196.1150615836139,0.0,0.0
expB,PLR,forest,0,61,8823.845894138594,1379.0404529230857,0.0,0.0
expB,IRM,forest,0,61,7795.925712664454,1193.410058190014,0.0,0.0
expB,PLR,forest,0,62,8762.661194162132,1374.8893243033863,0.0,0.0
expB,IRM,forest,0,62,7815.73933026891,1194.220204464137,0.0,0.0
expB,PLR,forest,0,63,8808.688451153179,1381.6801384231176,0.0,0.0
expB,IRM,forest,0,63,7824.89595008349,1201.112040375997,0.0,0.0
expB,PLR,forest,0,64,8806.669129871409,1374.1042070955634,0.0,0.0
expB,IRM,forest,0,64,7744.3466143896885,1201.3107408612639,0.0,0.0
expB,PLR,forest,0,65,8800.686513708393,1386.0387500098946,0.0,0.0
expB,IRM,forest,0,65,7813.777560799743,1197.278806510183,0.0,0.0
expB,PLR,forest,0,66,8788.163107823924,1367.814026403098,0.0,0.0
expB,IRM,forest,0,66,7789.053612130377,1193.674278664262,0.0,0.0
expB,PLR,forest,0,67,8730.670992584013,1363.9634034036926,0.0,0.0
expB,IRM,forest,0,67,7824.564308394375,1189.5549131008524,0.0,0.0
expB,PLR,forest,0,68,8895.40197028485,1382.7921653770288,0.0,0.0
expB,IRM,forest,0,68,7719.327970566462,1204.188157064723,0.0,0.0
expB,PLR,forest,0,69,8703.598445004696,1365.205090332704,0.0,0.0
expB,IRM,forest,0,69,7769.288512409175,1194.6476026944545,0.0,0.0
expB,PLR,forest,0,70,8775.1283988313,1381.8167816745524,0.0,0.0
expB,IRM,forest,0,70,7827.38572775457,1194.8391187161237,0.0,0.0
expB,PLR,forest,0,71,8818.104538601372,1369.1094115018152,0.0,0.0
expB,IRM,forest,0,71,7733.793421351098,1199.575720457495,0.0,0.0
expB,PLR,forest,0,72,8764.806201585176,1379.9374880616049,0.0,0.0
expB,IRM,forest,0,72,7745.572589098121,1216.4239727051652,0.0,0.0
